ID;Date;Full-time-working;Part-time-working;Member-of-NGO;Other-busyness;Digital-skills;Using-calendar;Daybook;Notebook;Desktop-calendar;Wall-mounted-calendar;Mobile-phone;PC;Tablet;Other-Tool;Having always by side;Icons & signs;Classification of items;Archiving artworks;Archiving books;All in a single calendar;All spaces utilizable;Showing former entries;Showing tasks I have finished;Easy comprehension;Fast insertion;Visual simplicity;Aesthetics;Empty space for free writing;Working offline;Reminding with notifications;Not disturbing with notifications;Change of day widths;Change of activity colors;Change of visible time span;Change of background;All spaces utilizable - Digital;makes me tidier;makes me feel good;manages my relationships;fun;makes me learn new things;provides self-fostering;makes me proud;enables self-expression;provides self-confidence;provides the joy of nostalgia;provides the joy of being served;I like doing multiple things at the same time;People should not do more than one thing at a time;If I reserve an evening for studying, I study a single course;Preparing multiple projects/homework at the same time boosts my creativity;I spare time for social activities while I am attending courses in a semester;What I do in each day of the week is determined;I perpetually note the timings of courses' homework, projects, presentations etc.;I decide on my weekend plans during the week;I don't like making changes my plans;I search courses' hours and difficulties before term registrations start;I have difficulty in following deadlines of courses' homework, projects, presentations etc.;I prefer working in a team rather than working alone;I like spending my spare time on my own;Socializing with people makes me happy;I don't like to be alone;Group activities come about pleasant;The time spent with others is usually more entertaining than the time spent alone ;Crowded places and activities are exhaustive;I focus on the future, rather than the past experiences;I frequently think about what I will do as a job in the future;I dream about the future ;It is important that a person thinks about and plan the current time;Those living the moment succeed;Sometimes I think about the past and what I would do differently;Sometimes I remember what I achieved so far and be proud of myself;POLY;PLAN;SOCI;TEMP
123;26.05.2016 22:26;0;0;0;Sports;3;1;1;0;0;0;1;0;0;;3;4;4;4;3;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;3;3;4;2;2;3;2;4;4;3;2;4;3;3;2;4;2;4;3;4;3;4;4;2;3;3;4;2;3;3;3;3;4;4;4;3;4;4;0;0.33;0;0
126;26.05.2016 23:33;1;0;0;;4;1;1;0;0;0;0;0;0;;5;5;5;3;2;2;5;5;5;3;5;5;5;5;5;5;2;3;3;4;4;4;5;5;4;3;2;4;5;4;5;5;3;3;1;5;1;5;4;5;3;1;1;3;3;3;5;1;5;3;3;3;3;2;4;3;5;4;0;-0.08;0.14;-0.4
127;26.05.2016 23:28;0;0;0;;3;1;0;0;0;0;1;0;0;;3;3;3;3;3;5;5;3;3;5;5;5;3;5;5;5;1;5;2;2;1;5;5;1;1;1;1;1;1;1;1;1;1;4;1;4;1;5;3;5;3;3;4;1;1;3;5;2;4;3;3;3;5;5;5;1;5;5;0.2;0.42;0;0
128;26.05.2016 23:27;1;0;0;;5;1;1;0;0;0;1;0;0;;5;5;5;3;2;5;4;4;4;5;5;5;4;3;5;5;1;5;5;5;3;4;5;4;3;3;4;5;5;3;3;4;3;5;4;4;3;4;3;4;5;4;5;2;3;4;4;2;5;3;4;3;4;4;5;3;4;4;0.1;0.58;0;0
129;26.05.2016 23:37;0;1;0;;3;1;0;1;0;0;1;1;0;;5;3;4;2;2;5;3;4;4;4;5;5;4;4;4;3;3;4;4;5;3;3;5;4;4;4;3;4;4;3;4;2;3;3;4;4;2;4;3;5;3;4;4;4;2;4;3;2;4;4;5;2;3;4;5;3;3;4;-0.2;0.25;-0.36;-0.1
130;26.05.2016 23:55;1;0;0;;4;1;0;0;1;1;1;0;0;;3;4;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;3;4;3;4;3;3;3;4;4;4;3;3;3;4;4;4;3;4;4;1;2;3;3;3;4;2;2;3;3;4;4;3;4;4;0.2;0.5;0.14;-0.1
131;27.05.2016 00:03;0;1;1;;5;1;0;0;0;0;1;1;1;;5;4;4;4;4;5;5;5;5;5;5;3;3;5;5;5;5;4;4;5;3;5;5;3;4;4;3;5;5;4;4;3;2;4;1;5;3;4;5;5;4;2;5;1;5;2;5;4;5;2;3;3;4;4;4;3;4;5;0.2;0.67;0.64;-0.1
132;27.05.2016 00:05;0;0;0;I mean, other.;5;1;0;0;0;0;1;1;0;;5;5;5;2;2;5;3;5;5;5;5;5;5;5;5;5;5;3;3;5;3;3;5;5;4;3;3;4;3;1;4;1;1;2;4;3;2;4;4;4;3;4;5;1;1;4;4;2;4;3;5;3;3;4;5;2;4;4;-0.2;0.58;-0.29;-0.1
134;27.05.2016 00:17;1;0;0;;4;1;0;0;0;0;1;0;0;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;3;4;3;2;3;3;4;4;3;4;4;3;3;4;4;3;4;4;4;3;3;2;3;2;4;4;4;4;2;3;3;3;4;4;3;3;3;-0.1;0.08;0.14;0.1
137;27.05.2016 00:45;1;0;0;;3;0;0;0;0;0;0;0;0;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;3;4;4;4;3;3;4;3;4;4;3;3;4;4;4;4;3;4;3;4;3;4;4;4;3;4;4;4;4;4;3;3;4;0.1;0.33;0.21;0.2
138;27.05.2016 00:51;0;0;0;I am a player at Frisbee team;5;1;0;0;1;0;1;1;0;;5;3;3;3;1;5;2;4;4;4;4;5;3;3;5;4;1;3;3;4;1;2;5;4;2;4;2;5;5;2;3;2;2;4;2;4;3;5;2;4;2;3;2;4;2;5;3;1;4;4;4;2;3;3;4;2;3;4;0.3;-0.25;-0.43;-0.2
139;27.05.2016 01:11;0;0;1;;3;0;0;0;0;0;0;0;0;;5;5;5;5;5;5;5;3;3;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3;2;2;5;4;4;4;4;3;1;1;4;4;2;4;3;4;3;4;5;5;5;5;5;0.3;0.5;-0.21;-0.1
140;27.05.2016 01:24;0;0;1;;4;1;0;0;0;1;1;0;0;;4;5;4;3;3;5;5;5;4;4;5;3;4;4;5;5;5;5;5;4;3;5;5;5;3;3;3;5;5;3;3;3;3;4;3;4;2;4;3;5;2;4;4;4;3;3;5;3;5;1;1;2;4;4;4;3;4;2;0;0.17;0.57;0.1
142;27.05.2016 01:46;0;0;1;Second academic program;5;1;0;1;0;0;1;0;0;;5;5;5;3;3;5;5;4;4;5;5;5;5;5;5;5;2;4;4;5;3;5;5;5;4;3;3;5;3;3;3;3;3;5;1;3;3;5;3;4;3;5;2;2;2;5;3;2;3;3;4;3;3;4;4;3;3;4;0.6;0.25;-0.36;0
145;27.05.2016 02:47;0;0;1;Freelance translator;4;1;1;1;0;0;1;0;0;;4;4;3;4;3;4;3;3;4;3;3;5;5;5;4;4;2;4;4;4;4;3;5;4;3;4;3;4;4;3;3;3;3;2;5;5;3;5;4;4;2;3;4;3;2;3;4;3;4;3;3;4;4;4;4;4;4;3;-0.3;0.17;0.07;0.2
151;27.05.2016 09:27;1;0;0;;4;0;0;0;0;0;0;0;0;;4;3;4;4;3;4;2;4;4;5;5;4;4;5;5;5;5;4;3;5;2;2;4;3;2;3;2;4;4;2;2;3;2;4;2;4;2;4;3;4;3;5;3;3;1;4;4;3;4;3;2;4;3;4;4;3;4;4;0.1;0.25;0;0
152;27.05.2016 10:04;1;0;0;;4;1;0;0;0;0;1;1;0;;5;5;5;3;3;5;4;4;5;5;5;4;3;3;5;5;5;4;5;5;4;5;5;4;4;5;3;5;4;4;5;4;3;2;4;5;2;4;5;4;4;5;4;1;3;3;4;3;3;3;3;4;3;4;5;3;3;4;-0.4;0.75;0.07;0.1
153;27.05.2016 10:21;0;0;0;I do pilates;4;1;0;0;0;0;1;0;0;;5;3;4;3;3;5;4;3;3;5;5;5;5;5;5;5;5;5;5;5;3;5;5;4;4;3;3;4;4;4;2;2;2;5;1;3;4;4;3;2;2;3;4;4;4;3;4;3;4;2;3;3;3;4;3;3;2;2;0.6;-0.17;0.29;0.3
154;27.05.2016 10:36;0;1;0;;4;1;0;1;0;0;1;0;0;;5;3;5;4;4;5;4;5;5;4;5;4;3;4;5;2;5;4;3;4;3;4;5;4;3;4;2;5;5;3;4;5;3;4;3;4;3;4;5;5;4;5;5;2;3;5;3;2;1;4;4;4;4;4;5;3;4;4;0.1;0.83;-0.5;0.1
155;27.05.2016 10:50;1;0;1;;5;1;1;0;1;0;1;0;0;;5;4;4;3;3;5;4;4;4;5;5;5;4;4;4;5;5;4;4;5;3;4;4;4;4;3;3;5;5;4;5;4;4;4;2;4;2;4;3;4;4;4;4;3;5;2;5;4;5;3;3;4;3;4;4;4;3;4;0.1;0.33;0.57;0.1
156;27.05.2016 11:10;0;1;0;;4;1;1;0;0;0;0;0;0;;4;4;3;3;4;4;4;4;4;4;4;4;4;4;5;3;4;4;3;3;3;3;5;5;5;5;4;4;4;3;3;5;3;4;1;3;2;3;4;4;5;5;5;3;4;5;2;1;3;4;4;5;4;5;5;3;4;3;0.2;0.67;-0.43;0.4
159;27.05.2016 11:38;0;0;1;;4;1;0;1;0;0;1;0;0;;4;4;4;5;5;5;3;5;5;4;4;3;3;4;5;4;2;3;3;3;3;3;4;3;2;5;1;2;4;4;3;5;3;5;1;2;4;4;3;5;5;4;5;2;5;3;4;3;5;3;5;1;1;2;5;4;5;2;0.7;0.67;0.21;-0.6
160;27.05.2016 11:47;0;0;1;;3;1;0;1;0;0;1;0;0;;5;4;4;3;3;5;4;4;4;4;4;4;4;4;5;5;4;4;4;4;3;4;5;5;4;4;3;5;5;3;5;4;3;3;3;5;3;4;3;5;3;4;4;2;3;3;4;2;4;3;2;3;4;4;4;3;4;4;-0.1;0.42;0.14;0
162;27.05.2016 12:37;0;0;1;;4;1;0;0;0;1;0;0;0;;4;3;3;3;3;5;5;5;5;4;5;5;4;4;5;5;4;4;3;5;3;4;5;5;4;4;3;5;5;5;5;5;5;4;3;4;3;4;4;5;4;3;5;1;3;3;4;2;4;3;3;3;4;4;5;4;4;4;0.1;0.67;0.07;0
166;27.05.2016 13:18;0;0;1;;4;1;1;0;0;0;1;0;0;;4;3;4;2;3;3;3;4;4;4;5;5;4;4;5;5;5;4;4;5;2;4;5;3;3;4;3;5;4;4;3;4;3;4;2;2;3;5;3;5;2;2;5;4;4;3;4;2;3;2;3;3;2;4;4;3;2;3;0.5;0.08;0.14;0.1
167;27.05.2016 15:04;0;0;1;;5;1;0;0;0;0;1;1;0;;4;5;5;4;3;5;4;5;4;4;5;4;4;5;5;4;4;5;4;5;3;4;5;5;3;2;2;5;4;4;5;3;5;3;2;4;2;5;3;5;5;4;5;2;2;5;4;2;3;4;5;4;5;5;5;4;4;4;0.1;0.67;-0.43;0.3
168;27.05.2016 15:11;0;0;1;;3;1;1;0;1;0;1;0;0;;5;4;3;3;5;4;3;4;4;3;4;3;3;5;5;4;4;3;3;5;3;4;4;3;3;4;3;4;4;3;3;3;3;5;2;5;4;4;3;5;3;3;5;1;3;3;4;4;4;3;4;4;5;5;4;4;4;4;0.3;0.5;0.14;0.3
169;27.05.2016 15:43;0;0;0;;4;1;0;0;1;0;1;1;0;;4;4;4;3;3;4;4;4;4;4;4;5;4;4;5;4;5;4;4;4;4;4;4;3;3;4;3;4;4;4;3;3;3;3;3;2;3;4;2;4;4;2;4;4;4;2;5;5;5;2;3;3;4;4;4;4;4;4;0.2;0;0.64;0
171;27.05.2016 16:12;0;0;1;;1;1;0;1;0;0;1;0;0;;4;3;5;3;3;4;3;4;5;3;5;3;3;4;5;4;3;5;1;3;1;4;3;5;1;3;2;4;2;4;5;2;2;1;5;5;1;4;3;5;2;2;5;5;1;5;3;2;3;4;5;5;3;2;4;3;2;2;-0.7;0;-0.57;0.3
172;27.05.2016 16:14;0;0;1;;3;1;0;0;0;0;1;0;0;;5;5;5;5;5;4;5;4;4;5;5;5;5;4;5;5;2;3;4;3;2;5;4;4;3;3;3;4;4;3;4;3;4;4;2;2;2;5;3;4;1;4;5;2;4;2;5;5;5;1;2;3;5;4;5;3;4;4;0.4;0.25;0.79;0.1
173;27.05.2016 17:33;1;0;0;;4;1;1;0;0;0;1;1;0;;5;5;5;3;3;5;4;4;4;5;5;5;4;4;5;5;2;3;3;4;1;3;5;5;4;2;2;4;4;3;4;3;3;4;2;4;4;5;2;2;2;4;1;5;4;1;4;5;4;2;4;4;5;5;5;4;5;5;0.4;-0.5;0.5;0.1
174;27.05.2016 17:57;0;0;1;;4;1;1;0;0;0;1;0;0;;5;3;3;3;3;4;3;5;5;5;5;5;4;5;5;4;3;5;5;3;3;3;4;3;2;2;2;4;2;2;2;2;2;4;3;2;2;4;3;2;2;4;4;4;5;5;4;3;3;3;3;4;3;2;3;3;3;2;0.2;-0.08;0.07;0.1
175;27.05.2016 18:58;1;0;0;;4;1;0;0;0;0;1;0;0;Post-it;3;3;3;1;1;3;3;1;1;4;4;4;4;4;4;4;2;3;4;4;1;3;4;3;3;3;3;4;3;3;3;3;3;2;4;3;1;4;1;4;3;3;4;2;3;3;4;3;4;3;3;3;5;5;4;3;4;4;-0.3;0.08;0.14;0.2
176;27.05.2016 19:05;0;1;0;;5;1;1;1;0;0;1;0;0;A timetable I keep in my wallet.;5;4;5;5;3;5;5;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;4;5;4;5;2;2;5;5;4;5;4;2;4;2;5;2;5;4;5;1;2;5;3;2;4;5;4;4;0.8;0.42;0.79;-0.1
177;27.05.2016 19:19;0;0;1;;2;0;0;0;0;0;0;0;0;I take notes about important dates on any nearby surface with post-its. They can span a period of 3-4 months.;3;5;4;2;2;2;2;4;3;5;5;5;2;5;5;4;3;4;3;4;4;4;5;5;2;3;2;5;5;2;4;2;2;5;2;4;4;4;3;5;4;2;5;1;1;3;4;3;4;2;2;2;4;4;4;3;4;4;0.4;0.5;0.14;-0.1
178;27.05.2016 19:15;0;0;1;;2;1;1;1;0;0;1;0;0;;5;5;5;5;5;5;4;5;5;5;5;5;4;5;5;4;5;5;5;5;3;4;5;5;5;5;4;5;5;5;5;5;5;4;2;5;3;5;3;4;3;4;4;3;3;2;5;4;4;3;4;4;4;5;5;5;5;5;0.2;0.25;0.29;0
179;27.05.2016 19:47;1;0;1;;5;1;1;0;1;0;1;1;0;;4;4;3;3;3;4;3;5;4;4;4;4;4;3;4;4;4;3;3;3;3;3;4;4;4;4;3;4;4;4;4;3;2;4;2;4;4;4;2;4;4;3;4;2;3;2;4;3;4;3;2;4;2;4;4;2;4;4;0.3;0.25;0.29;-0.1
180;27.05.2016 20:40;0;0;1;;3;1;0;1;0;0;1;0;0;;4;4;4;3;3;5;5;4;5;5;5;4;3;4;4;4;4;4;3;3;2;4;4;3;3;3;2;4;4;3;3;3;3;4;2;2;4;5;2;3;2;2;2;3;2;2;5;4;4;2;2;3;2;4;3;4;3;4;0.6;-0.33;0.43;-0.1
183;27.05.2016 22:51;1;0;0;;4;1;1;0;1;0;1;0;0;;4;4;3;5;4;4;3;4;3;4;4;4;4;5;5;4;5;3;3;4;2;4;4;3;2;3;3;4;5;2;3;4;2;4;2;3;4;4;3;4;2;3;4;1;2;2;4;3;4;2;2;3;4;5;4;3;4;4;0.4;0.25;0.29;0.1
184;27.05.2016 22:51;0;0;0;;3;1;0;1;0;0;1;0;1;;5;2;4;5;3;5;4;3;4;4;4;4;3;4;4;4;3;3;4;4;3;4;4;3;3;4;3;4;4;4;4;4;3;5;2;4;3;4;2;4;3;3;4;5;4;4;4;2;4;3;4;3;4;4;4;3;4;3;0.3;-0.08;0;0.1
186;28.05.2016 12:29;0;0;1;;3;0;0;0;0;0;0;0;0;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;3;5;4;5;4;4;4;4;3;3;4;4;4;4;4;4;4;2;3;3;4;2;2;2;3;4;4;4;3;4;3;3;3;3;2;2;2;4;3;3;3;0.3;-0.25;0.14;-0.3
188;28.05.2016 13:06;0;0;1;;3;1;0;1;0;0;1;0;0;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;3;4;3;4;2;3;4;4;4;4;2;4;4;2;2;1;3;2;4;4;3;4;2;1;1;4;5;2;2;4;2;2;4;4;4;4;4;4;4;4;4;4;-0.2;-0.08;-0.36;0.1
191;28.05.2016 18:54;1;0;0;;4;0;0;0;0;0;0;0;0;;5;2;4;4;3;5;5;2;4;5;5;5;4;4;5;5;5;2;1;3;2;5;4;3;2;1;3;3;2;1;2;1;2;3;4;3;3;4;3;3;4;3;1;2;2;3;4;3;3;3;3;4;3;4;4;3;4;2;0;0;0;0.2
192;28.05.2016 23:12;0;1;1;;5;1;0;0;0;0;0;0;0;Google Calendar;5;5;5;3;3;5;5;4;4;5;5;5;4;5;5;5;4;4;3;5;3;5;5;4;4;3;3;4;4;4;3;3;4;4;3;5;2;5;3;2;1;3;1;5;4;3;5;1;5;3;4;5;5;5;3;3;4;4;0;-0.58;0.14;0.4
193;29.05.2016 14:29;0;0;1;;5;1;0;1;0;0;0;0;0;;4;4;4;3;3;3;4;4;4;5;5;5;3;4;5;3;3;4;4;4;2;2;4;4;4;4;3;4;2;2;2;3;2;5;1;2;4;4;4;4;4;2;4;1;2;2;4;4;5;2;2;4;4;5;4;4;4;4;0.7;0.42;0.43;0.2
195;29.05.2016 19:37;0;0;1;;3;1;1;1;0;1;0;0;0;;4;4;4;4;4;4;3;3;3;4;4;3;5;5;4;4;2;4;4;4;4;4;3;4;4;4;4;4;4;4;5;5;5;4;2;2;5;5;3;3;2;2;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;0.7;-0.17;0.07;0
196;31.05.2016 20:11;0;0;1;;4;1;0;1;0;0;1;1;0;;4;4;5;5;4;5;5;4;4;5;5;4;4;3;5;5;4;3;4;4;1;4;5;4;3;3;3;4;4;3;3;3;3;2;4;4;2;4;2;3;2;1;2;3;4;3;3;1;3;3;4;3;2;2;4;3;2;3;-0.3;-0.42;-0.14;-0.1
198;1.06.2016 00:43;1;0;0;;5;1;1;0;0;0;1;0;0;;4;4;5;4;3;4;4;4;4;5;5;5;4;4;5;4;4;4;4;4;2;3;4;3;3;2;1;2;2;3;2;4;2;4;2;3;3;4;3;3;3;3;4;4;4;4;4;2;4;2;2;3;4;4;4;4;4;4;0.3;0;0.21;0
199;1.06.2016 15:34;1;0;0;;5;0;0;0;0;0;0;0;0;;4;4;4;3;3;5;4;5;4;4;4;4;4;3;5;5;4;3;4;5;3;4;5;4;4;4;4;5;5;4;4;3;2;3;4;5;3;4;3;5;4;3;4;2;4;2;5;3;4;3;4;4;3;5;4;5;3;4;-0.2;0.42;0.29;0.2
201;3.06.2016 15:46;1;0;0;;5;1;0;0;0;0;1;0;0;;5;4;5;3;3;5;4;3;5;5;5;5;4;4;5;5;5;4;4;5;4;5;5;4;2;3;3;5;1;4;4;1;1;5;2;3;3;5;2;5;2;1;5;1;3;3;4;2;3;3;3;4;4;5;4;5;5;4;0.5;0.17;0;0.1
202;3.06.2016 16:10;0;0;1;;4;1;1;0;0;0;1;0;0;;5;4;4;3;2;5;4;3;3;5;5;4;4;5;5;4;4;4;4;4;4;4;5;5;2;4;3;5;3;2;3;4;1;3;2;3;2;5;4;4;4;2;1;2;3;3;4;2;4;3;3;2;2;2;4;3;4;2;0.2;0.08;0.07;-0.3
203;3.06.2016 16:24;0;0;1;;4;1;1;1;0;0;1;0;0;;4;4;4;2;2;3;5;5;5;5;5;5;4;4;5;5;5;4;5;5;5;5;4;4;3;3;3;4;4;3;4;4;3;5;3;2;4;4;3;2;3;2;3;4;5;1;5;5;4;2;2;3;4;5;4;3;4;3;0.5;-0.25;0.79;0.2
205;3.06.2016 18:26;0;0;1;;3;0;0;0;0;0;0;0;0;;4;4;4;3;2;5;4;4;3;5;5;5;4;5;5;4;5;3;5;4;4;4;4;4;3;3;2;3;3;3;3;3;3;5;2;4;3;5;1;4;2;2;1;4;4;1;5;5;5;1;1;2;2;4;3;3;3;3;0.4;-0.5;0.93;-0.1
208;4.06.2016 10:20;0;1;1;;4;1;1;0;0;1;1;0;0;;4;5;5;3;3;4;4;4;4;5;5;4;5;3;5;3;4;4;5;3;4;5;4;5;4;5;3;4;4;4;4;3;3;4;2;3;4;4;4;4;4;3;3;2;2;4;5;2;4;3;4;3;3;4;4;3;4;4;0.4;0.33;-0.07;-0.1
211;9.06.2016 15:51;0;0;1;;5;1;1;0;0;0;1;1;0;;4;4;4;3;2;5;4;4;3;4;4;5;4;4;5;3;4;4;4;5;1;3;5;3;4;3;2;4;3;3;5;3;3;4;3;2;4;5;5;4;5;4;4;2;4;3;5;3;4;2;2;4;4;3;4;3;3;4;0.5;0.67;0.43;0.1
213;9.06.2016 15:57;0;1;0;Second academic program;4;1;0;0;0;0;1;0;0;;5;3;5;3;3;5;5;3;3;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;3;3;4;2;3;3;3;4;3;4;4;4;2;2;3;3;2;3;3;4;3;4;3;4;3;3;3;0.2;0.42;-0.21;0.1
217;9.06.2016 16:13;0;0;1;;4;0;0;0;0;0;0;0;0;;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;3;4;5;4;5;1;3;4;3;4;2;1;5;3;2;2;4;1;2;1;3;2;4;3;4;2;1;5;2;4;1;5;4;5;2;1;2;4;5;5;4;4;4;0.1;0.08;0.79;0
218;9.06.2016 16:32;0;0;0;I sit at home;5;0;0;0;0;0;0;0;0;;4;3;4;2;3;4;3;4;4;3;4;5;4;4;5;4;4;4;4;4;3;3;4;3;2;3;2;3;3;2;2;4;3;2;3;5;2;4;1;2;3;4;4;4;4;5;3;2;4;3;5;2;3;4;3;3;4;2;-0.3;-0.17;-0.21;0
219;9.06.2016 16:36;0;0;1;;4;1;0;0;0;0;1;1;0;;5;5;5;3;3;5;5;4;4;5;5;5;3;3;5;5;4;5;5;5;2;5;5;3;4;3;1;3;2;3;2;1;1;3;5;5;3;5;4;5;4;3;5;1;1;1;5;3;5;2;4;5;5;5;3;4;3;1;-0.2;0.67;0.29;0.8
220;9.06.2016 16:47;0;0;0;Member of experimental space radiation & astrophysics group;5;0;0;0;0;0;0;0;0;;4;4;3;3;3;4;3;3;3;4;4;4;2;5;4;5;4;4;2;4;2;2;5;2;2;2;2;3;2;2;2;1;2;2;4;4;2;2;2;1;3;4;4;3;3;4;3;2;3;4;5;4;5;5;4;2;5;4;-0.5;-0.08;-0.36;0.2
222;9.06.2016 16:52;0;0;0;;4;0;0;0;0;0;0;0;0;I would use datebook, if I would use any.;5;5;5;3;3;5;4;5;5;5;5;5;3;4;4;5;3;4;3;4;3;4;5;4;4;3;3;4;3;3;3;4;3;3;3;2;2;2;4;3;4;3;5;3;3;3;3;3;3;3;4;3;4;4;4;2;4;4;-0.1;0.33;-0.07;0
223;9.06.2016 17:35;0;0;1;;5;0;0;0;0;0;0;0;0;;4;4;4;2;2;5;5;3;3;5;5;5;4;4;5;4;4;4;4;5;3;4;3;3;4;3;4;4;3;4;3;4;3;4;2;4;2;2;4;2;3;2;3;1;2;4;5;3;5;2;3;3;4;4;3;2;4;3;-0.1;0.08;0.21;0.1
224;9.06.2016 17:36;0;0;1;Game (lol + tower defense games);3;0;0;0;0;0;0;0;0;;4;4;4;3;4;5;3;4;5;5;5;5;3;4;5;4;5;3;4;4;1;3;4;2;3;1;4;4;4;3;1;5;5;4;3;1;4;5;4;4;5;2;1;1;5;2;5;3;5;2;3;4;4;4;4;3;5;4;0.6;0.25;0.57;0
225;9.06.2016 17:47;0;0;0;;4;1;0;0;0;1;1;1;0;;5;4;1;1;1;5;5;3;3;4;4;4;5;2;4;5;4;1;1;1;1;5;5;4;4;4;2;4;3;4;3;1;1;1;3;5;1;2;1;1;4;2;4;1;5;1;5;5;5;5;3;2;1;1;3;3;5;2;-0.7;-0.08;0.57;-0.6
229;9.06.2016 18:05;0;0;0;;4;0;0;0;0;0;0;0;0;;5;4;4;4;5;5;5;4;4;5;5;5;3;4;5;4;3;4;3;5;3;5;5;4;3;3;2;5;4;4;3;4;4;1;3;4;3;2;4;5;5;5;5;2;3;4;3;3;4;3;5;4;4;4;4;4;4;3;-0.4;0.83;-0.14;0.2
231;9.06.2016 18:45;0;0;0;;5;1;0;0;0;0;1;1;0;;5;2;3;2;2;5;3;3;3;5;5;4;4;4;5;3;4;4;3;5;2;3;4;4;2;3;2;3;4;3;4;4;2;5;1;3;4;3;2;3;3;2;3;2;4;4;4;2;3;3;5;4;3;4;4;4;3;4;0.5;-0.08;-0.14;0.1
234;9.06.2016 20:30;1;0;0;;5;1;1;1;0;0;1;0;0;;4;5;4;3;3;5;5;1;2;5;5;2;4;5;5;4;4;4;5;5;3;4;5;4;4;4;3;5;3;3;4;3;3;4;2;3;4;4;4;5;4;5;4;2;2;4;3;2;3;3;4;4;4;4;4;3;4;3;0.4;0.67;-0.29;0.2
235;9.06.2016 20:47;0;0;1;;5;0;0;0;0;0;0;0;0;;4;5;4;2;4;4;3;2;2;4;5;4;3;4;4;5;3;4;4;4;3;3;5;3;4;4;3;4;2;3;4;3;4;4;2;1;4;4;2;1;2;3;1;5;4;4;3;1;2;4;5;3;4;4;3;3;4;3;0.6;-0.67;-0.43;0.1
236;9.06.2016 23:05;0;0;0;None;5;1;0;0;0;0;1;0;0;;5;3;4;3;3;5;4;4;4;5;5;5;5;3;5;5;5;5;2;2;1;4;4;3;3;4;2;4;2;2;2;4;2;4;2;4;2;4;2;4;2;4;3;2;3;4;4;3;2;2;4;3;5;5;4;2;4;4;0.1;0.08;-0.07;0.2
